port_id,port_name
port2042,Chu Lai
port1035,Colon
port2054,Coquimbo
port2241,Cromarty
fso71,Côte d'Ivoire - Offshore Oil Terminal 1
port2029,Dachan Bay
port2116,Dafeng
port2237,Das Island
port2095,Del Guazu
port2247,Delaware
fso72,Democratic Republic of the Congo - Offshore Oil Terminal 1
fso73,Democratic Republic of the Congo - Offshore Oil Terminal 2
fso74,Democratic Republic of the Congo - Offshore Oil Terminal 3
fso75,Democratic Republic of the Congo - Offshore Oil Terminal 4
port2188,Derna
port1115,Detroit
port2124,Dhekelia
port2037,Diliskelesi
port1342,Doha-Umm Said
port2019,Dongguan
port1309,Donghae
port1070,Dongjiakou
port2240,Douglas
port1236,Duluth
port2087,Dundee
port213,Dung Quat
port2256,Dutch Harbor
port2016,Eilat
port2044,El Dekheila
fso45,Equatorial Guinea - Offshore Oil Terminal 1
fso46,Equatorial Guinea - Offshore Oil Terminal 2
fso47,Equatorial Guinea - Offshore Oil Terminal 3
port2249,Erie
port2076,Escravos (Oil Terminal)
port2204,Eten
port2168,Falconara
port2244,Faslane
port2234,Feodosiya
port2239,Flotta
port1001,Fortaleza (Mucuripe)
port2259,Fray Bentos
port2135,Fuglafjordur
fso76,Gabon - Offshore Oil Terminal 1
fso77,Gabon - Offshore Oil Terminal 2
fso78,Gabon - Offshore Oil Terminal 3
port2170,Gaeta
port2007,Galati
port2224,Galle
port2138,Gamba
port1041,Garrucha
port2103,Gaspe
fso79,Ghana - Offshore Oil Terminal 1
fso80,Ghana - Offshore Oil Terminal 2
fso81,Ghana - Offshore Oil Terminal 3
port2005,Giurgiulesti Port
port2079,Gizo
port2098,Guamare
port2114,Guangao
port2107,Guayacan
port2113,Gulei
fso48,Guyana - Offshore Oil Terminal 1
fso49,Guyana - Offshore Oil Terminal 2
fso50,Guyana - Offshore Oil Terminal 3
fso51,Guyana - Offshore Oil Terminal 4
port2108,Hadera
port1042,Haina
port2026,Hamad Port
port2198,Haugesund
port2039,Hazira
port2149,Helguvik
port2173,Henza Island
port2057,Hibikinada
port2014,Holyhead
port2105,Holyrood
port2197,Honningsvag
port2238,Hound Point
port154,Huanghua
